datetime,open,high,low,close,volume
2026-06-26T01:47:00+00:00,15538.52,15542.52,15504.54,15506.04,769
2026-06-26T01:48:00+00:00,15506.04,15520.03,15503.02,15512.54,909
2026-06-26T01:49:00+00:00,15512.54,15525.53,15499.02,15524.54,1011
2026-06-26T01:50:00+00:00,15524.54,15551.54,15524.54,15544.53,1135
2026-06-26T01:51:00+00:00,15544.53,15568.54,15543.02,15551.53,1121
2026-06-26T01:52:00+00:00,15551.53,15557.53,15542.04,15543.52,1022
2026-06-26T01:53:00+00:00,15543.52,15550.54,15535.53,15539.02,1013
2026-06-26T01:54:00+00:00,15539.02,15551.04,15536.04,15547.04,988
2026-06-26T01:55:00+00:00,15547.04,15548.54,15522.53,15538.52,1013
2026-06-26T01:56:00+00:00,15538.52,15548.53,15528.02,15541.03,924
2026-06-26T01:57:00+00:00,15541.03,15547.54,15536.03,15544.02,961
2026-06-26T01:58:00+00:00,15544.02,15557.04,15539.53,15544.54,858
2026-06-26T01:59:00+00:00,15544.54,15571.04,15543.02,15571.03,864
2026-06-26T02:00:00+00:00,15571.03,15571.04,15541.02,15545.02,934
2026-06-26T02:01:00+00:00,15545.02,15575.04,15541.52,15570.53,834
2026-06-26T02:02:00+00:00,15570.53,15572.02,15557.03,15567.03,775
2026-06-26T02:03:00+00:00,15567.03,15580.04,15564.03,15575.03,707
2026-06-26T02:04:00+00:00,15575.03,15575.03,15536.04,15538.03,684
2026-06-26T02:05:00+00:00,15538.03,15548.04,15532.03,15532.53,728
2026-06-26T02:06:00+00:00,15532.53,15536.53,15513.02,15532.03,663
2026-06-26T02:07:00+00:00,15532.03,15539.03,15518.53,15523.54,682
2026-06-26T02:08:00+00:00,15523.54,15549.04,15523.54,15544.04,659
2026-06-26T02:09:00+00:00,15544.04,15554.52,15539.02,15547.04,636
2026-06-26T02:10:00+00:00,15547.04,15550.04,15528.04,15531.02,744
2026-06-26T02:11:00+00:00,15531.02,15531.54,15486.52,15487.52,659
2026-06-26T02:12:00+00:00,15487.52,15492.03,15475.02,15482.53,686
2026-06-26T02:13:00+00:00,15482.53,15511.04,15480.53,15509.52,712
2026-06-26T02:14:00+00:00,15509.52,15512.03,15498.04,15501.54,706
2026-06-26T02:15:00+00:00,15501.54,15510.53,15489.02,15500.04,771
2026-06-26T02:16:00+00:00,15500.04,15509.03,15482.52,15489.52,760
2026-06-26T02:17:00+00:00,15489.52,15501.54,15486.52,15494.54,719
